H[A/m];B [T]
0.000;0.000
79.577;0.212
100.182;0.266
126.122;0.332
158.778;0.414
199.890;0.514
251.646;0.632
316.804;0.768
398.832;0.917
502.100;1.070
632.106;1.214
795.775;1.335
1001.821;1.423
1261.218;1.481
1587.779;1.517
1998.896;1.545
2516.461;1.571
3168.036;1.602
3988.321;1.638
5020.999;1.680
6321.063;1.727
7957.747;1.777
10018.210;1.825
12612.179;1.871
15877.793;1.911
19988.957;1.947
25164.606;1.982
31680.362;2.018
39883.213;2.055
50209.990;2.093
63210.632;2.128
79577.472;2.162
100182.101;2.195
126121.793;2.230
158777.930;2.272
199889.571;2.324
251646.061;2.389
316803.620;2.471
